"","stcd2","cycle","stateabrev","stcd","dem_share","dem_share_imputed","dpres","incumb","winner_dem","uncontested","votes_dem","votes_rep","votes_dem_est","votes_rep_est","chamber"
"90","1970s_1004",1972,"GA","1004",0.240871024240908,0.240871024240908,23.01,-1,0,0,32731,103155,32731,103155,"us_house"
"91","1970s_1005",1972,"GA","1005",0.528490174289391,0.528490174289391,47.86,0,1,0,72289,64495,72289,64495,"us_house"
"92","1970s_1006",1972,"GA","1006",1,0.56155883059409,20.44,1,1,1,70586,0,41847.7739828081,32672.9559975861,"us_house"
"93","1970s_1007",1972,"GA","1007",0.582757463275944,0.582757463275944,16.99,1,1,0,59031,42265,59031,42265,"us_house"
"94","1970s_1008",1972,"GA","1008",0.623817483306934,0.623817483306934,22.18,1,1,0,71283,42986,71283,42986,"us_house"
"95","1970s_1009",1972,"GA","1009",1,0.570357660079781,17.96,1,1,1,71801,0,43303.7918756788,32620.1325432928,"us_house"
"96","1970s_1010",1972,"GA","1010",1,0.611137814642192,26.98,1,1,1,68096,0,43010.3378382901,27367.1397253782,"us_house"
"97","1970s_1101",1972,"HI","1101",0.547005127293204,0.547005127293204,37.67,1,1,0,73826,61138,73826,61138,"us_house"
"98","1970s_1102",1972,"HI","1102",0.570811799941386,0.570811799941386,37.38,1,1,0,79856,60043,79856,60043,"us_house"
"99","1970s_1501",1972,"IA","1501",0.538976790063812,0.538976790063812,43.94,-1,1,0,107099,91609,107099,91609,"us_house"
"100","1970s_1502",1972,"IA","1502",0.591777859763471,0.591777859763471,44.42,1,1,0,115489,79667,115489,79667,"us_house"
"101","1970s_1503",1972,"IA","1503",0.443190226626727,0.443190226626727,39.73,-1,0,0,86848,109113,86848,109113,"us_house"
"102","1970s_1504",1972,"IA","1504",0.595625560932061,0.595625560932061,44.16,0,1,0,125431,85156,125431,85156,"us_house"
"103","1970s_1505",1972,"IA","1505",0.447441396610238,0.447441396610238,37.21,-1,0,0,87937,108596,87937,108596,"us_house"
"104","1970s_1506",1972,"IA","1506",0.475337552956954,0.475337552956954,38.08,-1,0,0,93574,103284,93574,103284,"us_house"
"105","1970s_1201",1972,"ID","1201",0.444046004590027,0.444046004590027,31.38,0,0,0,68106,85270,68106,85270,"us_house"
"106","1970s_1202",1972,"ID","1202",0.28103745670252,0.28103745670252,26.15,-1,0,0,40081,102537,40081,102537,"us_house"
"107","1970s_1301",1972,"IL","1301",0.913942204875962,0.913942204875962,89.51,1,1,0,136755,12877,136755,12877,"us_house"
"108","1970s_1302",1972,"IL","1302",0.750216334736527,0.750216334736527,65.93,1,1,0,115306,38391,115306,38391,"us_house"
"109","1970s_1303",1972,"IL","1303",0.37747582988508,0.37747582988508,29.61,0,0,0,77814,128329,77814,128329,"us_house"
"110","1970s_1304",1972,"IL","1304",0.294608872637297,0.294608872637297,28.58,-1,0,0,59057,141402,59057,141402,"us_house"
"111","1970s_1305",1972,"IL","1305",0.72821270310192,0.72821270310192,52.56,1,1,0,121278,45264,121278,45264,"us_house"
"112","1970s_1306",1972,"IL","1306",0.388239109922944,0.388239109922944,31.16,-1,0,0,79002,124486,79002,124486,"us_house"
"113","1970s_1307",1972,"IL","1307",0.827855997769569,0.827855997769569,73.72,1,1,0,95018,19758,95018,19758,"us_house"
"114","1970s_1308",1972,"IL","1308",0.740253995911939,0.740253995911939,55.81,1,1,0,110457,38758,110457,38758,"us_house"
"115","1970s_1309",1972,"IL","1309",0.683278025510733,0.683278025510733,54.4,1,1,0,131777,61083,131777,61083,"us_house"
"116","1970s_1310",1972,"IL","1310",0.484055356280167,0.484055356280167,37.83,0,0,0,113222,120681,113222,120681,"us_house"
"117","1970s_1311",1972,"IL","1311",0.533415763679691,0.533415763679691,37.34,1,1,0,118637,103773,118637,103773,"us_house"
"118","1970s_1312",1972,"IL","1312",0.25755729563626,0.25755729563626,26.9,-1,0,0,53055,152938,53055,152938,"us_house"
"119","1970s_1313",1972,"IL","1313",0.385237075711478,0.385237075711478,30.36,-1,0,0,61537,98201,61537,98201,"us_house"
"120","1970s_1314",1972,"IL","1314",0.27213309007467,0.27213309007467,24.68,-1,0,0,57874,154794,57874,154794,"us_house"
"121","1970s_1315",1972,"IL","1315",0.427565262674854,0.427565262674854,33.92,-1,0,0,82925,111022,82925,111022,"us_house"
"122","1970s_1316",1972,"IL","1316",0.280932280948921,0.280932280948921,34.11,-1,0,0,50649,129640,50649,129640,"us_house"
"123","1970s_1317",1972,"IL","1317",0.443518595672583,0.443518595672583,33.68,0,0,0,79840,100175,79840,100175,"us_house"
"124","1970s_1318",1972,"IL","1318",0.351780159544813,0.351780159544813,34.4,-1,0,0,67514,124407,67514,124407,"us_house"
"125","1970s_1319",1972,"IL","1319",NA,0.370684030876328,38.26,-1,0,1,0,0,62251.8660222502,105685.948496173,"us_house"
"126","1970s_1320",1972,"IL","1320",0.312442093169774,0.312442093169774,36.29,-1,0,0,67445,148419,67445,148419,"us_house"
"127","1970s_1321",1972,"IL","1321",0.45220807829513,0.45220807829513,37.51,0,0,0,82523,99966,82523,99966,"us_house"
"128","1970s_1322",1972,"IL","1322",0.579540327194749,0.579540327194749,36.3,1,1,0,124589,90390,124589,90390,"us_house"
"129","1970s_1323",1972,"IL","1323",0.750613780766146,0.750613780766146,46.76,1,1,0,121682,40428,121682,40428,"us_house"
"130","1970s_1324",1972,"IL","1324",1,0.635679768437471,40.16,1,1,1,138867,0,90033.4276664628,51599.8791285119,"us_house"
"131","1970s_1401",1972,"IN","1401",0.568861067434064,0.568861067434064,47.39,1,1,0,95873,72662,95873,72662,"us_house"
"132","1970s_1402",1972,"IN","1402",0.453270542094395,0.453270542094395,26.39,-1,0,0,91533,110406,91533,110406,"us_house"
"133","1970s_1403",1972,"IN","1403",0.560922306521763,0.560922306521763,35.74,1,1,0,103949,81369,103949,81369,"us_house"
"134","1970s_1404",1972,"IN","1404",0.514975438740575,0.514975438740575,32.91,1,1,0,100327,94492,100327,94492,"us_house"
"135","1970s_1405",1972,"IN","1405",0.358705602814265,0.358705602814265,30.23,-1,0,0,69746,124692,69746,124692,"us_house"
